,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,x,y,pos
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.977,183306.318,0.01095729866409429
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.977,183306.317,0.011455357694280396
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.977,183306.317,0.011953416724466499
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.978,183306.316,0.012451475754652603
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.978,183306.316,0.012949534784838707
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.978,183306.315,0.013447593815024812
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.978,183306.315,0.013945652845210914
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.979,183306.315,0.014443711875397018
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.979,183306.314,0.014941770905583124
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.979,183306.314,0.015439829935769228
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.98,183306.313,0.01593788896595533
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.98,183306.313,0.016435947996141436
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.98,183306.313,0.01693400702632754
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.98,183306.312,0.017432066056513644
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.981,183306.312,0.01793012508669975
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.981,183306.311,0.018428184116885852
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.981,183306.311,0.018926243147071958
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.981,183306.31,0.01942430217725806
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.982,183306.31,0.019922361207444166
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.982,183306.31,0.020420420237630268
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.982,183306.309,0.02091847926781637
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.983,183306.309,0.02141653829800248
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.983,183306.308,0.02191459732818858
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.983,183306.308,0.022412656358374684
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.983,183306.307,0.022910715388560793
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.984,183306.307,0.023408774418746895
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.984,183306.307,0.023906833448932997
8177,107763.971,183306.327,27.6337591,34539.53,0.00254585,0.001404028,0.000822536,0.000569049,0.000216854,0.000190861,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,107763.984,183306.306,0.0244048924791191
