,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
47,107769.879,183237.862,28.55,32758.32,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
48,107769.879,183237.862,28.55,32758.52,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
49,107769.878,183237.862,28.55,32758.72,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.600081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
50,107769.876,183237.862,28.55,32758.92,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.600081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
51,107769.871,183237.862,28.55,32759.13,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
52,107769.868,183237.862,28.55,32759.33,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
53,107769.865,183237.862,28.55,32759.53,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
54,107769.866,183237.862,28.55,32759.73,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
55,107769.869,183237.862,28.55,32759.93,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
56,107769.879,183237.862,28.55,32762.11,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
57,107769.879,183237.862,28.55,32762.31,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
58,107769.879,183237.862,28.55,32762.51,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
59,107769.879,183237.862,28.55,32762.7,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
60,107769.876,183237.862,28.55,32762.9,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.600081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
61,107769.871,183237.862,28.55,32764.01,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
62,107769.872,183237.862,28.55,32764.05,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
